"Subject_ID" "Activity_Type" "Measurements_Means"
17 "Standing" -0.515634521338639
17 "Laying" -0.502324923917331
18 "Walking" -0.285099940926725
18 "Walking_Upstairs" -0.301897637922116
18 "Walking_Downstairs" -0.274667335333118
18 "Sitting" -0.517864464370118
18 "Standing" -0.515960429322485
18 "Laying" -0.51212796203891
19 "Walking" -0.0781300707003881
19 "Walking_Upstairs" -0.153325525934941
19 "Walking_Downstairs" 0.0889926945085712
19 "Sitting" -0.501023983368585
19 "Standing" -0.508017860591708
19 "Laying" -0.50776463480366
20 "Walking" -0.0923935504129504
20 "Walking_Upstairs" -0.160064700205302
20 "Walking_Downstairs" -0.0526006119691537
20 "Sitting" -0.504069639089813
20 "Standing" -0.486646281783013
20 "Laying" -0.505609322842868
21 "Walking" -0.185982273367137
21 "Walking_Upstairs" -0.220833493521716
21 "Walking_Downstairs" -0.110690403450766
21 "Sitting" -0.513569000540247
21 "Standing" -0.508932978344006
21 "Laying" -0.50001495188169
22 "Walking" -0.138473388700029
22 "Walking_Upstairs" -0.15856320078307
22 "Walking_Downstairs" -0.116759683985568
22 "Sitting" -0.498531616919049
22 "Standing" -0.504279157820557
22 "Laying" -0.489929119008466
23 "Walking" -0.097081642242701
23 "Walking_Upstairs" -0.19786130492035
23 "Walking_Downstairs" -0.037658004279606
23 "Sitting" -0.504359098000311
23 "Standing" -0.509012466954563
23 "Laying" -0.504449924030405
24 "Walking" -0.267322364106236
24 "Walking_Upstairs" -0.264790915778467
24 "Walking_Downstairs" -0.18836623719841
24 "Sitting" -0.512719972092147
24 "Standing" -0.509911343507875
24 "Laying" -0.504909927366342
25 "Walking" -0.302160546661001
25 "Walking_Upstairs" -0.312187535555358
25 "Walking_Downstairs" -0.255925146015836
25 "Sitting" -0.512173156308841
25 "Standing" -0.511726349082666
25 "Laying" -0.42882197774355
26 "Walking" -0.240582096343011
26 "Walking_Upstairs" -0.24423608231241
26 "Walking_Downstairs" -0.139430950911489
26 "Sitting" -0.506932973449847
26 "Standing" -0.513265815561348
26 "Laying" -0.508696756923181
27 "Walking" -0.237390575720079
27 "Walking_Upstairs" -0.262724204436608
27 "Walking_Downstairs" -0.142089040442181
27 "Sitting" -0.512430975647395
27 "Standing" -0.515738790947973
27 "Laying" -0.512938468998025
28 "Walking" -0.230336858316537
28 "Walking_Upstairs" -0.231292711134247
28 "Walking_Downstairs" -0.117355979169398
28 "Sitting" -0.505934679067237
28 "Standing" -0.493628670112796
28 "Laying" -0.504657163497749
29 "Walking" -0.20242375859338
29 "Walking_Upstairs" -0.182217035001785
29 "Walking_Downstairs" -0.147126016442928
29 "Sitting" -0.513153134059858
29 "Standing" -0.519636072814523
29 "Laying" -0.51406014738638
30 "Walking" -0.205559186023332
30 "Walking_Upstairs" -0.246849159323847
30 "Walking_Downstairs" -0.178372318526105
30 "Sitting" -0.506619238545559
30 "Standing" -0.495766051396364
30 "Laying" -0.50275947936179
